,state,Total:_Estimate,Total:_Margin of Error,"    Less than $20,000_Estimate","    Less than $20,000_Margin of Error","    $20,000 to $39,999_Estimate","    $20,000 to $39,999_Margin of Error","    $40,000 to $59,999_Estimate","    $40,000 to $59,999_Margin of Error","    $60,000 to $99,999_Estimate","    $60,000 to $99,999_Margin of Error","    $100,000 to $149,999_Estimate","    $100,000 to $149,999_Margin of Error","    $150,000 to $199,999_Estimate","    $150,000 to $199,999_Margin of Error","    $200,000 or more_Estimate","    $200,000 or more_Margin of Error",PAYANN,PAYANN_S,PCHDAPR,PCHADVT,YEAR,DENSITY_2021,NPOPCHG_2021,POP_2021,RANK_PPOPCHG_2021,PPOPCHG_2021,Total:_Estimate_max,"    Less than $20,000_Estimate_max","    $20,000 to $39,999_Estimate_max","    $40,000 to $59,999_Estimate_max","    $60,000 to $99,999_Estimate_max","    $100,000 to $149,999_Estimate_max","    $150,000 to $199,999_Estimate_max","    $200,000 or more_Estimate_max",Total:_Estimate_min,"    Less than $20,000_Estimate_min","    $20,000 to $39,999_Estimate_min","    $40,000 to $59,999_Estimate_min","    $60,000 to $99,999_Estimate_min","    $100,000 to $149,999_Estimate_min","    $150,000 to $199,999_Estimate_min","    $200,000 or more_Estimate_min"
0,Alabama,"1,895,330","+/-11,303","343,100","+/-6,195","377,846","+/-4,948","300,806","+/-3,848","415,862","+/-6,035","257,440","+/-4,009","98,256","+/-2,355","102,020","+/-3,326",593200,0.0,2396.0,1638.0,2012,99.5099129150,15074,5039877,20,0.2999918604,1917936,355490,387742,308502,427932,265458,102966,108672,1872724,330710,367950,293110,403792,249422,93546,95368
1,Alabama,"1,895,330","+/-11,303","343,100","+/-6,195","377,846","+/-4,948","300,806","+/-3,848","415,862","+/-6,035","257,440","+/-4,009","98,256","+/-2,355","102,020","+/-3,326",353795,0.0,667.0,1018.0,2017,99.5099129150,15074,5039877,20,0.2999918604,1917936,355490,387742,308502,427932,265458,102966,108672,1872724,330710,367950,293110,403792,249422,93546,95368
2,Alaska,"255,456","+/-3,049","25,234","+/-1,523","30,722","+/-1,632","34,087","+/-2,167","66,229","+/-2,333","50,192","+/-2,059","25,746","+/-1,458","23,246","+/-1,804",1454311,0.0,25066.0,10420.0,2012,1.2830925496,232,732673,32,0.0316749062,261554,28280,33986,38421,70895,54310,28662,26854,249358,22188,27458,29753,61563,46074,22830,19638
3,Alaska,"255,456","+/-3,049","25,234","+/-1,523","30,722","+/-1,632","34,087","+/-2,167","66,229","+/-2,333","50,192","+/-2,059","25,746","+/-1,458","23,246","+/-1,804",1161521,0.0,3459.0,3914.0,2017,1.2830925496,232,732673,32,0.0316749062,261554,28280,33986,38421,70895,54310,28662,26854,249358,22188,27458,29753,61563,46074,22830,19638
4,Arizona,"2,774,127","+/-9,543","356,350","+/-6,290","468,309","+/-5,096","464,365","+/-4,269","664,639","+/-5,719","422,532","+/-5,021","190,899","+/-3,303","207,033","+/-4,518",759997,0.0,11260.0,1211.0,2012,64.0221138030,98330,7276316,4,1.3698828613,2793213,368930,478501,472903,676077,432574,197505,216069,2755041,343770,458117,455827,653201,412490,184293,197997
5,Arizona,"2,774,127","+/-9,543","356,350","+/-6,290","468,309","+/-5,096","464,365","+/-4,269","664,639","+/-5,719","422,532","+/-5,021","190,899","+/-3,303","207,033","+/-4,518",676418,0.0,6810.0,574.0,2017,64.0221138030,98330,7276316,4,1.3698828613,2793213,368930,478501,472903,676077,432574,197505,216069,2755041,343770,458117,455827,653201,412490,184293,197997
6,Arkansas,"1,185,599","+/-7,831","218,887","+/-5,282","259,022","+/-4,937","193,324","+/-3,151","264,791","+/-4,858","145,450","+/-3,357","50,412","+/-1,876","53,713","+/-2,793",580457,0.0,6065.0,4135.0,2012,58.1946786180,13659,3025891,19,0.4534511286,1201261,229451,268896,199626,274507,152164,54164,59299,1169937,208323,249148,187022,255075,138736,46660,48127
7,Arkansas,"1,185,599","+/-7,831","218,887","+/-5,282","259,022","+/-4,937","193,324","+/-3,151","264,791","+/-4,858","145,450","+/-3,357","50,412","+/-1,876","53,713","+/-2,793",266019,0.0,1380.0,1064.0,2017,58.1946786180,13659,3025891,19,0.4534511286,1201261,229451,268896,199626,274507,152164,54164,59299,1169937,208323,249148,187022,255075,138736,46660,48127
8,California,"13,135,388","+/-17,807","1,471,961","+/-13,156","1,703,767","+/-8,631","1,628,536","+/-8,264","2,758,148","+/-11,495","2,304,464","+/-11,622","1,310,474","+/-7,859","1,958,038","+/-17,505",2244544,0.0,24835.0,14759.0,2012,251.7543622300,-261902,39237836,47,-0.6630474360,13171002,1498273,1721029,1645064,2781138,2327708,1326192,1993048,13099774,1445649,1686505,1612008,2735158,2281220,1294756,1923028
9,California,"13,135,388","+/-17,807","1,471,961","+/-13,156","1,703,767","+/-8,631","1,628,536","+/-8,264","2,758,148","+/-11,495","2,304,464","+/-11,622","1,310,474","+/-7,859","1,958,038","+/-17,505",1433056,0.0,7866.0,4184.0,2017,251.7543622300,-261902,39237836,47,-0.6630474360,13171002,1498273,1721029,1645064,2781138,2327708,1326192,1993048,13099774,1445649,1686505,1612008,2735158,2281220,1294756,1923028
