business_id;less_100m;less_500m;less_1km;less_5km;less_10km;less_50km
HIkgNCI38ga0NWcbmDqzWw;0;2;5;60;140;350
-eCe9GfRqhbMaB9CylkBSg;0;5;8;153;230;267
WKMJwqnfZKsAae75RMP6jA;1;14;63;197;304;377
MTSW4McQd7CbVtyjqoe9mw;8;40;134;682;838;2174
JX4tUpd09YFchLBuI43lGw;0;15;55;196;306;377
lk9IwjZXqUMqqOhM774DtQ;0;4;22;183;255;493
cVBxfMC4lp3DnocjYA3FHQ;1;4;22;198;301;377
IDtLPgUrqorrpqSLdfMhZQ;2;11;34;100;119;183
oaboaRBUgGjbo2kfUIKDLQ;0;24;46;185;266;493
ppFCk9aQkM338Rgwpl2F5A;3;37;71;647;858;2183
h_qlv6CIXGVurFOhFQ945w;0;0;2;40;255;377
2dlQX5sP9X6Dlm1MmNOlSw;0;4;25;470;874;2152
yM8LlTInbQH4FwWC97lz6w;0;1;8;117;204;518
bTve2mwLk5Zc01vRKqc2KQ;2;42;85;645;814;2154
py5aKmlTB2NarfsfcOpHOQ;2;7;10;61;273;1091
4iuNK5svIKV_GrbSwAXM6Q;0;0;0;15;48;1877
IOZrqUQ2Jg6UeQ5CWpsmkg;1;35;86;272;376;471
JwBTq6IOFH97b9Hr6RT7pw;1;8;11;45;260;377
8YJtf5v76SIz-4udyF4YmA;2;3;5;33;80;932
aNXw3PkXVt8ANwLyCfcmpg;0;2;3;25;66;1913
z9wCTHYI2VZy9YIblwSsgg;0;0;0;30;114;1078
cl5NjtALgaX7E-WL2DtiYQ;0;1;3;20;86;1907
JPm93BlP-UHYPqFgK66JUw;2;2;2;53;183;2049
gb7JjRJtzWDsIWpJihZhBQ;0;1;1;1;38;1493
bchZXVE4feVx4Q5rhIRCGg;3;4;12;84;874;2211
VCkSUsdL5P0p16DAPxVROA;0;8;61;677;841;2174
dIpTuL2T1L98GQGU17IeSw;1;9;19;126;256;1090
9qxMhGWjGsuPUoQB3Y74Wg;0;0;18;68;169;518
vxrGNnuEef7YCfB7mN08rA;0;0;0;28;142;1026
WmnPtMtY0elYVStooCTfng;1;2;3;28;176;2057
PW5eZM5RAQEhy3wgovChhQ;1;25;91;682;842;2174
6_Zf2QsRHCH1RhbzA9inyw;0;2;3;29;132;1094
lPPYZr1_jx0XeW-xR9WJtw;3;28;62;198;306;377
Iipfa9Kaac9XH5Vo8GQwvg;0;0;0;19;140;377
3uvFklejzRPwEPEZQ5vHYQ;0;10;15;33;117;2081
-H6s1c2NRic5UKxXqi4FdQ;0;0;0;24;68;919
IbndcMURguByburM72o3SA;6;9;14;16;51;1845
kLSEk3qXY1KdtFjxHJ9pww;0;1;3;29;129;1993
epGYbd0_OeSxsSkw-Kx5Rg;0;2;4;38;142;1047
A1lAqN3SOaBLoo6NqVcy4Q;0;3;8;40;89;1040
bF30LqHuXYtR8ibaRbq2kw;0;4;9;46;53;183
-kY_HDP7IMvGl-kBIZVU4A;1;27;62;105;119;183
hK59rATCI9o_rmeQu57RWw;3;24;56;248;374;471
dD2p903p8lU0IgXT3OFluA;2;2;15;178;253;493
sophKEDc2rBDe-cuOaJDkA;1;3;7;21;45;814
vMp55ea__Pk0fYbBDCn6jg;0;2;2;20;78;883
3vTG6LQyr3obzfvrK1l1hA;0;3;3;5;22;267
wcpL6sD6jKsBO0tbdK2KEA;0;7;11;27;79;465
0pMj5xUAecW9o1P35B0AMw;0;0;0;16;85;2063
5EGhvgDt_E-JPl4EhQkOtg;1;3;3;14;57;490
4FaYG9qKDpDyr68bKmaIEw;0;15;30;79;137;216
L7mbUPFMAfetY0fzuYtZ_g;0;2;3;14;116;1980
yUcMPv-B9gCUUNT-GUiJbw;0;1;7;235;383;471
Ei0wJeADbNtwvA9CrvknJw;0;2;3;51;257;2144
wMJlbZt2vOTG_FV96gkRVA;0;0;6;64;317;2076
QpPc51mH86xyrRmnFijpTQ;0;1;3;19;33;491
oY6osC4Ch3PvguA7D1hh_w;0;1;2;21;141;2011
KXVn1sHOBrLvARWYUhI-lg;0;1;1;29;195;493
koeubKPpi6ax4FDh7_zcWg;1;3;5;23;53;1555
13UgduZFJXeiTFsJu5Y8gg;0;0;2;14;45;493
C3roKH0ekXBz8l0ZoUIvAA;0;0;0;30;165;350
hGy3actugEISbvEGQeMz3A;0;2;4;14;47;1741
k0AO8X3VzWe_F4lkMb0eSg;1;3;4;22;105;1958
I4TFiNX5gTsJBnEGH2Tl8Q;2;11;47;635;815;2157
COclRBaXBjYpomS4syUmvg;0;8;9;36;116;466
j_eImSxsxnW0FCM1b5ekEQ;1;11;11;39;123;1025
tjEKEDmyR_VmeBkJGwreLA;0;1;1;58;304;1094
5QCLmv-JrdY0ZGc_D5__iw;0;0;2;38;134;1038
aYJjJMN8heS2PmkvsQzaZg;1;7;20;250;383;471
9sdu-m075T6qdB46wXP46w;0;5;18;175;253;493
pxuMxh5oC7W-PDN9wwvozg;0;35;59;159;232;267
-rTJCKclkU_ZnoQb4oKa9w;0;0;0;56;176;1032
IazLGcO9aggJnMMa_5UO1Q;0;2;3;9;58;1924
l8uzbLGk9CLjElcWGyBZ0Q;1;1;6;187;298;377
uxoQdZD3mEptaPohiLQg1w;0;0;0;4;29;1765
UFpCraqzFBAhtZqmxmiWsA;5;28;49;103;121;183
0_gh-ZRllduRLrjaYy0Icg;0;1;4;87;391;2217
085mjp-y4qmKRMIj72x8xw;4;39;92;272;377;471
oKvzmVhA1dKf-UARX4EpzQ;0;2;3;34;143;471
lo2VbA7Lwzu3i23pQpmzlw;0;0;0;20;81;1863
w8C_pRQvdIXQ5VRWlW2M3w;1;1;8;149;232;267
aJpDjaMVhWZRLdwZtqQjEg;0;11;63;196;304;377
ws-gbVjt56zCQC-CR5pjTQ;0;0;0;5;19;882
lYxKXvDZGX9a3RwGuu0tPA;0;0;2;53;153;2136
0zH0l4Jbf-oove3cLvrFOg;2;9;14;16;52;1849
kgMEBZG6rjkGeFzPaIM4MQ;0;7;67;665;823;2161
ZyyExneJPXjci7yc2CGAPQ;3;46;101;650;813;2155
cwvpVlg5BE2XXRWTHe3p9w;0;1;1;5;13;902
bwlSGCjYLNwzXVD9CB_8EA;0;0;4;37;128;2099
i7WnyDXKpT-mPaHEMY-HcQ;2;2;2;32;144;1929
