business_id;rating;num_rating;types;price_level
HIkgNCI38ga0NWcbmDqzWw;3.6;302;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
-eCe9GfRqhbMaB9CylkBSg;3.3;36;convenience_store|food|point_of_interest|store|establishment;1
MTSW4McQd7CbVtyjqoe9mw;4.8;48;bakery|food|point_of_interest|store|establishment;
JX4tUpd09YFchLBuI43lGw;4.7;226;night_club|cafe|bar|food|point_of_interest|store|establishment;
lk9IwjZXqUMqqOhM774DtQ;4.1;271;cafe|grocery_or_supermarket|restaurant|food|point_of_interest|store|establishment;2
cVBxfMC4lp3DnocjYA3FHQ;4.8;172;food|point_of_interest|store|establishment;1
IDtLPgUrqorrpqSLdfMhZQ;4.5;364;restaurant|food|point_of_interest|store|establishment;2
oaboaRBUgGjbo2kfUIKDLQ;4.6;1505;cafe|food|point_of_interest|store|establishment;1
ppFCk9aQkM338Rgwpl2F5A;3.2;154;convenience_store|cafe|restaurant|food|point_of_interest|store|establishment;1
h_qlv6CIXGVurFOhFQ945w;4;721;cafe|restaurant|food|point_of_interest|store|establishment;1
2dlQX5sP9X6Dlm1MmNOlSw;4.5;289;cafe|food|point_of_interest|store|establishment;2
yM8LlTInbQH4FwWC97lz6w;2.8;2596;cafe|restaurant|food|point_of_interest|store|establishment;1
bTve2mwLk5Zc01vRKqc2KQ;4.7;224;meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
py5aKmlTB2NarfsfcOpHOQ;5;4;cafe|food|point_of_interest|store|establishment;
4iuNK5svIKV_GrbSwAXM6Q;3.9;211;convenience_store|gas_station|cafe|restaurant|food|point_of_interest|store|establishment;1
IOZrqUQ2Jg6UeQ5CWpsmkg;4.9;35;convenience_store|supermarket|grocery_or_supermarket|food|point_of_interest|store|establishment;
JwBTq6IOFH97b9Hr6RT7pw;4.7;348;cafe|food|point_of_interest|store|establishment;
8YJtf5v76SIz-4udyF4YmA;4.4;19;cafe|food|point_of_interest|establishment;
