,date,US-AK_Coffee,US-AK_Tea,US-AK_bubbleTea,isPartial,US-AL_Coffee,US-AL_Tea,US-AL_bubbleTea,isPartial,US-AR_Coffee,US-AR_Tea,US-AR_bubbleTea,isPartial,US-AZ_Coffee,US-AZ_Tea,US-AZ_bubbleTea,isPartial,US-CA_Coffee,US-CA_Tea,US-CA_bubbleTea,isPartial,US-CO_Coffee,US-CO_Tea,US-CO_bubbleTea,isPartial,US-CT_Coffee,US-CT_Tea,US-CT_bubbleTea,isPartial,US-DC_Coffee,US-DC_Tea,US-DC_bubbleTea,isPartial,US-DE_Coffee,US-DE_Tea,US-DE_bubbleTea,isPartial,US-FL_Coffee,US-FL_Tea,US-FL_bubbleTea,isPartial,US-GA_Coffee,US-GA_Tea,US-GA_bubbleTea,isPartial,US-HI_Coffee,US-HI_Tea,US-HI_bubbleTea,isPartial,US-IA_Coffee,US-IA_Tea,US-IA_bubbleTea,isPartial,US-ID_Coffee,US-ID_Tea,US-ID_bubbleTea,isPartial,US-IL_Coffee,US-IL_Tea,US-IL_bubbleTea,isPartial,US-IN_Coffee,US-IN_Tea,US-IN_bubbleTea,isPartial,US-KS_Coffee,US-KS_Tea,US-KS_bubbleTea,isPartial,US-KY_Coffee,US-KY_Tea,US-KY_bubbleTea,isPartial,US-LA_Coffee,US-LA_Tea,US-LA_bubbleTea,isPartial,US-MA_Coffee,US-MA_Tea,US-MA_bubbleTea,isPartial,US-MD_Coffee,US-MD_Tea,US-MD_bubbleTea,isPartial,US-ME_Coffee,US-ME_Tea,US-ME_bubbleTea,isPartial,US-MI_Coffee,US-MI_Tea,US-MI_bubbleTea,isPartial,US-MN_Coffee,US-MN_Tea,US-MN_bubbleTea,isPartial,US-MO_Coffee,US-MO_Tea,US-MO_bubbleTea,isPartial,US-MS_Coffee,US-MS_Tea,US-MS_bubbleTea,isPartial,US-MT_Coffee,US-MT_Tea,US-MT_bubbleTea,isPartial,US-NC_Coffee,US-NC_Tea,US-NC_bubbleTea,isPartial,US-ND_Coffee,US-ND_Tea,US-ND_bubbleTea,isPartial,US-NE_Coffee,US-NE_Tea,US-NE_bubbleTea,isPartial,US-NH_Coffee,US-NH_Tea,US-NH_bubbleTea,isPartial,US-NJ_Coffee,US-NJ_Tea,US-NJ_bubbleTea,isPartial,US-NM_Coffee,US-NM_Tea,US-NM_bubbleTea,isPartial,US-NV_Coffee,US-NV_Tea,US-NV_bubbleTea,isPartial,US-NY_Coffee,US-NY_Tea,US-NY_bubbleTea,isPartial,US-OH_Coffee,US-OH_Tea,US-OH_bubbleTea,isPartial,US-OK_Coffee,US-OK_Tea,US-OK_bubbleTea,isPartial,US-OR_Coffee,US-OR_Tea,US-OR_bubbleTea,isPartial,US-PA_Coffee,US-PA_Tea,US-PA_bubbleTea,isPartial,US-RI_Coffee,US-RI_Tea,US-RI_bubbleTea,isPartial,US-SC_Coffee,US-SC_Tea,US-SC_bubbleTea,isPartial,US-SD_Coffee,US-SD_Tea,US-SD_bubbleTea,isPartial,US-TN_Coffee,US-TN_Tea,US-TN_bubbleTea,isPartial,US-TX_Coffee,US-TX_Tea,US-TX_bubbleTea,isPartial,US-UT_Coffee,US-UT_Tea,US-UT_bubbleTea,isPartial,US-VA_Coffee,US-VA_Tea,US-VA_bubbleTea,isPartial,US-VT_Coffee,US-VT_Tea,US-VT_bubbleTea,isPartial,US-WA_Coffee,US-WA_Tea,US-WA_bubbleTea,isPartial,US-WI_Coffee,US-WI_Tea,US-WI_bubbleTea,isPartial,US-WV_Coffee,US-WV_Tea,US-WV_bubbleTea,isPartial,US-WY_Coffee,US-WY_Tea,US-WY_bubbleTea,isPartial
0,2004-01-01,30,22,0,False,25,20,0,False,25,19,0,False,31,24,0,False,33,26,0,False,32,32,0,False,41,40,0,False,34,25,1,False,82,6,0,False,37,27,0,False,49,27,0,False,27,30,2,False,26,22,1,False,40,51,0,False,38,33,0,False,38,28,0,False,34,18,0,False,39,25,0,False,52,38,1,False,35,31,1,False,52,33,1,False,35,27,0,False,40,27,1,False,46,29,1,False,42,32,1,False,14,74,0,False,25,16,0,False,44,27,0,False,32,19,0,False,41,14,2,False,26,38,0,False,32,32,0,False,29,42,0,False,36,27,2,False,37,33,0,False,38,25,0,False,30,23,2,False,45,19,1,False,37,25,0,False,42,32,3,False,43,41,0,False,48,15,0,False,31,26,0,False,35,29,1,False,28,15,0,False,33,24,0,False,63,28,0,False,48,21,1,False,48,25,0,False,21,17,0,False,24,16,0,False
1,2004-02-01,25,18,0,False,45,15,0,False,36,15,0,False,34,26,1,False,27,24,0,False,37,25,0,False,37,34,0,False,30,19,0,False,39,6,0,False,33,24,1,False,34,25,1,False,22,21,0,False,31,13,0,False,42,23,0,False,35,21,0,False,42,31,0,False,31,31,0,False,47,18,0,False,37,31,1,False,32,24,0,False,38,39,0,False,27,25,0,False,30,25,1,False,38,21,1,False,41,21,0,False,43,43,0,False,28,20,0,False,35,22,0,False,30,12,0,False,23,14,0,False,16,5,0,False,36,37,0,False,38,25,0,False,28,33,0,False,33,32,0,False,28,21,0,False,30,24,0,False,48,31,1,False,29,27,1,False,39,34,0,False,26,29,0,False,24,10,0,False,40,36,0,False,26,33,1,False,10,18,0,False,34,28,0,False,31,23,0,False,34,23,0,False,34,20,0,False,21,11,0,False,29,14,0,False
2,2004-03-01,37,13,0,False,25,30,2,False,40,32,0,False,28,25,0,False,28,25,1,False,38,21,0,False,39,33,0,False,29,23,0,False,82,31,0,False,28,22,0,False,37,37,0,False,32,22,0,False,24,22,2,False,16,45,0,False,30,21,0,False,28,23,0,False,14,18,0,False,27,34,0,False,43,26,0,False,33,19,0,False,40,35,0,False,31,18,0,False,39,31,0,False,41,23,0,False,32,21,0,False,53,35,0,False,32,16,0,False,34,22,0,False,31,0,0,False,30,35,0,False,59,19,0,False,32,27,0,False,51,24,0,False,22,13,0,False,33,31,1,False,34,19,0,False,28,24,0,False,41,24,2,False,36,22,0,False,24,15,0,False,45,35,0,False,0,24,0,False,45,29,0,False,29,30,1,False,34,9,0,False,34,28,0,False,46,18,0,False,36,23,0,False,32,17,0,False,26,28,0,False,58,19,0,False
3,2004-04-01,48,27,0,False,33,25,0,False,26,23,0,False,29,20,0,False,30,23,0,False,39,24,0,False,39,36,0,False,19,23,0,False,45,12,0,False,32,23,0,False,35,29,0,False,36,17,0,False,37,18,0,False,39,20,0,False,30,24,0,False,42,23,0,False,11,16,0,False,20,30,0,False,43,36,0,False,29,27,0,False,59,35,1,False,26,26,0,False,30,22,0,False,49,34,1,False,33,22,1,False,40,13,4,False,28,20,0,False,29,16,0,False,24,30,0,False,24,13,2,False,32,18,0,False,25,31,0,False,29,23,0,False,34,18,0,False,31,24,0,False,24,22,1,False,43,26,0,False,42,29,1,False,29,24,0,False,42,24,2,False,32,27,0,False,32,19,0,False,33,29,0,False,26,31,1,False,14,30,0,False,31,22,1,False,32,21,0,False,36,19,1,False,40,24,0,False,66,22,0,False,35,14,0,False
4,2004-05-01,44,39,0,False,22,22,0,False,26,29,0,False,28,16,0,False,32,23,0,False,33,28,0,False,22,30,0,False,28,22,0,False,34,16,0,False,31,24,0,False,31,25,0,False,32,17,0,False,20,20,0,False,23,18,0,False,35,21,0,False,23,31,0,False,35,20,0,False,43,27,0,False,48,15,1,False,34,28,0,False,45,35,1,False,32,25,0,False,31,25,1,False,46,22,0,False,28,25,0,False,50,21,0,False,37,14,0,False,36,24,0,False,22,0,0,False,27,17,0,False,21,17,0,False,23,23,0,False,31,39,0,False,20,28,0,False,30,27,1,False,36,20,0,False,27,14,0,False,44,24,1,False,30,25,1,False,42,26,0,False,18,28,0,False,49,22,0,False,25,15,1,False,31,28,1,False,33,19,0,False,34,25,0,False,23,16,0,False,33,23,0,False,37,19,0,False,59,11,0,False,7,13,0,False
5,2004-06-01,44,18,0,False,34,30,0,False,58,26,0,False,29,23,0,False,28,23,0,False,35,23,0,False,36,31,0,False,34,21,0,False,58,49,6,False,31,23,1,False,32,26,0,False,26,16,0,False,44,18,0,False,10,10,0,False,33,27,0,False,37,18,0,False,43,12,0,False,36,32,0,False,37,27,0,False,30,22,0,False,34,34,1,False,34,28,0,False,32,26,1,False,48,19,1,False,28,28,1,False,34,34,0,False,21,8,0,False,35,23,1,False,25,13,0,False,24,12,2,False,32,32,0,False,32,29,1,False,26,26,0,False,30,33,0,False,32,24,0,False,27,17,0,False,35,30,0,False,33,23,1,False,31,23,0,False,67,22,2,False,45,29,0,False,36,11,0,False,47,24,0,False,29,32,0,False,29,20,0,False,38,25,0,False,50,32,4,False,33,21,1,False,40,22,0,False,52,34,0,False,29,22,0,False
6,2004-07-01,42,21,0,False,44,21,0,False,30,9,0,False,30,23,1,False,30,24,0,False,43,20,1,False,38,32,0,False,26,25,0,False,18,27,0,False,39,20,0,False,35,23,0,False,31,25,0,False,35,30,0,False,33,10,0,False,30,23,0,False,43,20,0,False,28,20,0,False,27,12,0,False,47,27,0,False,31,34,1,False,49,27,0,False,41,23,0,False,33,27,0,False,43,27,0,False,34,29,1,False,52,35,0,False,22,17,0,False,33,22,0,False,33,33,0,False,27,26,2,False,38,19,0,False,33,28,0,False,44,18,0,False,30,20,0,False,32,28,1,False,34,16,1,False,33,27,1,False,46,30,0,False,33,27,0,False,30,16,0,False,35,34,0,False,36,42,0,False,29,23,0,False,27,30,0,False,29,26,0,False,34,23,0,False,47,21,0,False,33,23,2,False,31,14,1,False,31,22,0,False,67,15,0,False
7,2004-08-01,33,22,0,False,18,23,0,False,40,17,0,False,30,22,0,False,32,26,0,False,35,16,0,False,34,25,0,False,19,26,0,False,16,59,0,False,34,22,0,False,36,27,0,False,20,27,0,False,45,13,1,False,27,37,0,False,36,21,1,False,47,28,0,False,33,24,0,False,29,26,0,False,39,13,0,False,37,20,0,False,44,30,1,False,23,14,0,False,30,19,1,False,41,24,0,False,40,21,0,False,50,15,0,False,39,7,0,False,32,19,1,False,74,12,0,False,21,21,0,False,49,34,0,False,29,26,1,False,31,23,0,False,44,26,4,False,34,25,1,False,25,23,0,False,33,19,0,False,44,20,0,False,28,27,0,False,30,25,0,False,32,14,0,False,19,24,0,False,37,24,0,False,28,30,1,False,31,25,0,False,34,24,0,False,43,23,0,False,25,20,1,False,39,21,0,False,14,15,0,False,60,7,0,False
8,2004-09-01,46,27,0,False,34,25,1,False,25,22,0,False,36,22,0,False,29,23,0,False,30,28,0,False,31,35,0,False,27,20,0,False,38,36,0,False,30,24,1,False,34,23,0,False,19,27,1,False,16,18,0,False,28,26,0,False,35,22,0,False,35,21,0,False,23,18,1,False,26,16,0,False,51,21,0,False,30,25,0,False,43,34,2,False,23,19,0,False,35,22,0,False,42,19,1,False,36,24,0,False,44,37,0,False,26,9,0,False,32,25,0,False,48,43,0,False,38,13,0,False,20,20,0,False,32,26,0,False,33,21,0,False,28,28,0,False,32,27,1,False,33,20,0,False,30,23,0,False,40,29,1,False,32,26,2,False,38,24,0,False,20,25,0,False,32,16,0,False,28,23,0,False,27,32,0,False,29,11,0,False,37,27,0,False,47,26,0,False,33,18,0,False,32,20,0,False,62,4,0,False,35,12,0,False
9,2004-10-01,43,21,0,False,42,24,0,False,44,14,0,False,33,29,0,False,29,24,0,False,30,25,0,False,42,28,1,False,32,22,0,False,35,52,5,False,38,24,0,False,38,24,0,False,21,19,0,False,25,34,0,False,43,19,0,False,38,25,0,False,42,20,0,False,43,22,0,False,43,12,0,False,33,25,1,False,33,24,0,False,50,36,0,False,45,26,0,False,40,26,0,False,56,22,0,False,44,21,0,False,67,14,0,False,46,25,0,False,39,23,0,False,47,29,0,False,28,20,0,False,24,19,0,False,35,32,0,False,24,33,0,False,28,29,0,False,32,27,0,False,31,21,0,False,32,30,0,False,32,24,0,False,34,29,0,False,29,24,0,False,32,21,0,False,32,37,0,False,34,31,0,False,31,37,0,False,31,20,0,False,36,26,0,False,51,34,0,False,37,23,0,False,36,23,2,False,52,9,0,False,65,12,0,False
