,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220
date,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00
US-AK_Coffee,30,25,37,48,44,44,42,33,46,43,45,44,21,38,26,21,14,32,21,44,29,35,46,63,41,31,36,25,23,27,44,35,43,32,38,36,26,43,25,28,25,30,43,37,25,30,34,49,42,31,44,38,32,29,36,38,35,43,21,46,25,30,33,32,42,34,43,47,32,42,33,57,38,37,42,37,36,42,45,41,36,38,39,43,39,46,44,36,44,48,47,50,47,52,57,64,60,54,49,50,42,55,63,62,53,65,62,58,54,57,62,58,57,58,55,45,47,51,48,54,56,46,53,50,42,57,55,47,53,50,58,65,52,48,56,51,48,57,66,59,55,52,60,68,62,52,56,63,64,67,59,67,68,63,66,79,74,60,68,64,66,73,73,71,70,66,71,73,74,62,72,71,81,86,83,80,75,71,79,78,69,79,78,77,86,85,86,85,82,74,84,84,76,77,73,88,77,78,89,75,74,75,74,77,80,79,90,79,95,94,100,97,96,85,86,92,81,73,85,87,87
US-AK_Tea,22,18,13,27,39,18,21,22,27,21,16,46,23,21,29,5,27,19,23,26,24,13,30,28,32,18,35,17,23,22,27,23,32,30,35,35,26,25,30,26,24,24,23,26,29,38,37,35,28,29,30,28,28,16,31,26,30,26,28,28,26,24,26,56,30,27,21,34,30,28,28,38,34,33,42,38,25,32,36,37,39,43,40,34,40,30,30,37,33,32,32,28,34,31,31,37,38,31,27,34,38,40,40,30,34,33,36,46,39,36,39,43,35,37,30,36,33,40,37,43,38,39,41,39,44,45,45,34,32,39,37,51,40,46,45,41,41,40,40,38,37,35,39,46,53,40,41,41,47,36,40,35,37,42,37,47,40,39,48,41,44,40,38,38,40,40,43,43,41,42,44,37,43,47,39,42,36,40,42,48,51,57,43,42,44,46,41,37,41,41,42,50,49,42,37,40,51,44,40,42,43,41,44,63,48,47,44,46,47,45,42,44,46,41,44,51,44,40,44,45,58
US-AK_bubbleTea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,2
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-AL_Coffee,25,45,25,33,22,34,44,18,34,42,40,62,36,30,26,33,26,46,52,26,25,35,42,62,38,44,36,32,31,37,36,34,27,35,43,40,37,39,32,36,28,28,34,36,36,31,47,43,43,32,33,37,31,24,33,28,33,38,45,46,37,34,38,34,34,41,33,38,31,39,39,50,40,33,31,36,37,42,37,39,36,39,41,53,43,43,36,41,38,36,39,37,44,49,48,64,50,47,42,44,46,45,48,54,54,51,61,65,57,50,51,46,49,49,48,46,42,44,47,56,44,44,43,40,43,46,48,45,47,42,52,57,52,50,48,45,48,50,48,50,50,55,57,61,55,50,52,49,52,48,47,49,55,56,58,76,60,61,56,52,58,56,61,58,59,55,65,73,65,60,60,59,59,62,68,64,62,64,67,74,71,69,66,62,66,66,69,69,71,70,77,83,78,74,67,76,74,77,72,74,77,80,79,88,80,86,75,77,79,81,84,85,87,85,100,98,87,89,83,88,80
US-AL_Tea,20,15,30,25,22,30,21,23,25,24,23,35,33,25,25,28,26,19,20,17,26,25,26,38,31,27,24,29,27,28,23,27,23,23,30,28,28,32,26,22,25,27,31,27,25,29,32,30,32,26,32,26,26,23,27,22,26,27,24,29,33,30,35,66,32,28,31,27,31,31,33,33,37,40,40,52,31,32,35,40,36,37,37,28,33,35,30,36,31,29,32,32,34,34,32,33,44,36,38,33,37,36,35,31,33,33,33,35,37,37,36,34,34,35,34,30,33,37,36,37,38,38,34,33,39,41,38,33,35,35,36,40,41,40,40,40,40,38,38,37,37,36,38,34,41,40,39,41,35,39,34,34,37,37,37,38,43,39,43,39,37,38,39,37,36,36,38,41,47,39,39,41,41,39,40,38,38,40,38,40,45,40,40,40,39,42,37,39,38,37,40,43,43,47,40,44,47,46,46,44,40,42,40,59,56,50,43,51,54,48,50,48,46,45,46,46,55,48,47,48,48
US-AL_bubbleTea,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
isPartial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
US-AR_Coffee,25,36,40,26,26,58,30,40,25,44,40,54,40,25,38,24,26,32,45,31,34,29,62,43,38,52,24,35,24,39,32,38,29,23,42,37,37,27,31,33,40,35,34,27,22,32,43,36,38,30,34,31,31,27,37,32,35,26,36,40,37,38,36,26,27,32,30,32,34,35,40,46,40,28,29,34,42,34,42,35,34,32,47,53,37,39,34,35,34,36,42,37,41,47,54,67,47,48,39,49,46,49,50,49,57,56,60,62,58,49,57,49,48,51,52,48,44,45,53,58,52,44,48,43,43,46,46,48,46,49,57,60,54,48,47,45,43,45,43,48,54,49,60,60,52,47,48,48,43,44,46,50,49,53,60,73,56,50,53,53,51,56,56,59,60,59,68,69,65,60,63,63,56,63,64,64,62,62,73,73,69,65,66,60,66,68,69,66,72,69,69,80,73,71,64,72,76,69,68,72,73,79,82,89,79,70,73,78,77,74,79,82,88,87,94,100,86,88,78,84,89
